iter	Passed	Remaining
842	1363	254
843	1365	252
844	1366	250
845	1368	249
846	1369	247
847	1371	245
848	1373	244
849	1375	242
850	1376	241
851	1378	239
852	1379	237
853	1380	236
854	1382	234
855	1383	232
856	1385	231
857	1387	229
858	1389	228
859	1391	226
860	1392	224
861	1394	223
862	1395	221
863	1397	219
864	1399	218
865	1400	216
866	1401	215
867	1403	213
868	1405	211
869	1407	210
870	1408	208
871	1410	207
872	1411	205
873	1413	203
874	1415	202
875	1417	200
876	1418	198
877	1420	197
878	1422	195
879	1424	194
880	1425	192
881	1427	190
882	1428	189
883	1430	187
884	1433	186
885	1434	184
886	1436	182
887	1438	181
888	1439	179
889	1441	178
890	1443	176
891	1444	174
892	1445	173
893	1447	171
894	1448	169
895	1450	168
896	1451	166
897	1453	165
898	1455	163
899	1456	161
900	1459	160
901	1460	158
902	1463	157
903	1465	155
904	1466	153
905	1468	152
906	1470	150
907	1472	149
908	1473	147
909	1475	145
910	1476	144
911	1478	142
912	1479	140
913	1481	139
914	1482	137
915	1484	136
916	1485	134
917	1487	132
918	1489	131
919	1490	129
920	1492	127
921	1493	126
922	1495	124
923	1497	123
924	1498	121
925	1500	119
926	1502	118
927	1505	116
928	1507	115
929	1510	113
930	1512	112
931	1515	110
932	1517	108
933	1519	107
934	1520	105
935	1522	104
936	1524	102
937	1525	100
938	1527	99
939	1528	97
940	1530	95
941	1531	94
942	1534	92
943	1535	91
944	1537	89
945	1538	87
946	1540	86
947	1541	84
948	1543	82
949	1544	81
950	1546	79
951	1547	78
952	1549	76
953	1551	74
954	1553	73
955	1554	71
956	1556	69
957	1557	68
958	1558	66
959	1560	65
960	1562	63
961	1563	61
962	1565	60
963	1566	58
964	1568	56
965	1571	55
966	1573	53
967	1575	52
968	1577	50
969	1579	48
970	1581	47
971	1583	45
972	1585	43
973	1586	42
974	1588	40
975	1589	39
976	1591	37
977	1592	35
978	1594	34
979	1595	32
980	1597	30
981	1599	29
982	1600	27
983	1602	26
984	1603	24
985	1604	22
986	1606	21
987	1607	19
988	1609	17
989	1610	16
990	1612	14
991	1614	13
992	1615	11
993	1617	9
994	1618	8
995	1620	6
996	1621	4
997	1623	3
998	1624	1
999	1626	0
